Latitude (decimal degrees): 38.110
Longitude (decimal degrees): 15.650
Elevation (m): 67.0
Irradiance Time Offset (h): 0.1671
month,year
1,2012
2,2009
3,2006
4,2010
5,2008
6,2009
7,2012
8,2006
9,2022
10,2015
11,2006
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,8.1,74.21,0.0,-0.0,0.0,266.95,2.1,332.0,94870.0
20120101:0100,7.44,73.31,0.0,-0.0,0.0,263.99,2.19,335.0,94890.0
20120101:0200,6.78,72.42,0.0,-0.0,0.0,261.02,2.28,338.0,94890.0
20120101:0300,6.11,71.52,0.0,-0.0,0.0,258.06,2.37,339.0,94920.0
20120101:0400,5.45,70.63,0.0,-0.0,0.0,255.1,2.46,340.0,94920.0
20120101:0500,4.79,69.73,0.0,-0.0,0.0,252.14,2.54,341.0,94980.0
20120101:0600,4.12,68.84,0.0,-0.0,0.0,249.18,2.63,343.0,95030.0
20120101:0700,3.46,67.94,43.0,0.0,43.0,246.22,2.72,342.0,95110.0
20120101:0800,6.82,71.05,262.0,642.52,75.0,255.25,2.21,343.0,95190.0
20120101:0900,8.46,63.7,384.0,724.97,94.0,259.9,2.97,341.0,95270.0
20120101:1000,9.35,59.15,398.0,464.23,182.0,263.6,3.03,340.0,95270.0
20120101:1100,9.92,55.05,487.0,816.74,93.0,266.1,2.9,338.0,95250.0
20120101:1200,10.23,55.05,458.0,841.82,79.0,267.25,2.83,338.0,95210.0
20120101:1300,10.3,57.15,355.0,741.44,80.0,267.85,2.69,339.0,95230.0
20120101:1400,9.99,57.15,217.0,608.31,65.0,267.25,2.41,340.0,95260.0
20120101:1500,9.33,66.25,59.0,304.07,30.0,265.5,1.86,337.0,95300.0
20120101:1600,8.25,68.6,0.0,-0.0,0.0,262.4,1.72,340.0,95360.0
20120101:1700,7.34,73.8,0.0,-0.0,0.0,260.5,1.72,347.0,95410.0
20120101:1800,6.59,73.8,0.0,-0.0,0.0,258.75,1.72,353.0,95430.0
20120101:1900,6.53,73.8,0.0,-0.0,0.0,259.5,2.0,351.0,95470.0
20120101:2000,6.03,76.55,0.0,-0.0,0.0,259.1,1.86,356.0,95490.0
20120101:2100,5.17,82.4,0.0,-0.0,0.0,257.75,1.72,359.0,95510.0
20120101:2200,4.46,82.35,0.0,-0.0,0.0,257.6,1.45,4.0,95520.0
20120101:2300,4.97,79.35,0.0,-0.0,0.0,256.6,1.17,10.0,95520.0
20120102:0000,6.05,73.7,0.0,-0.0,0.0,256.2,0.9,24.0,95480.0
20120102:0100,6.41,71.05,0.0,-0.0,0.0,255.35,0.69,46.0,95470.0
20120102:0200,6.26,73.7,0.0,-0.0,0.0,255.45,0.62,61.0,95460.0
20120102:0300,6.1,73.7,0.0,-0.0,0.0,254.85,0.55,78.0,95430.0
20120102:0400,5.99,73.7,0.0,-0.0,0.0,254.85,0.62,103.0,95440.0
20120102:0500,6.0,70.95,0.0,-0.0,0.0,254.65,0.76,125.0,95450.0
20120102:0600,5.56,70.85,0.0,-0.0,0.0,255.25,1.03,144.0,95480.0
20120102:0700,6.26,70.95,42.0,0.0,42.0,255.25,0.97,150.0,95550.0
20120102:0800,6.57,76.65,269.0,693.51,67.0,259.7,1.1,164.0,95560.0
20120102:0900,9.8,68.9,393.0,776.31,82.0,265.5,1.86,183.0,95600.0
20120102:1000,10.73,69.1,472.0,827.84,86.0,269.6,2.0,192.0,95580.0
20120102:1100,11.39,69.15,493.0,839.24,87.0,273.65,1.93,198.0,95520.0
