time_h,Vdc_V,Ppv_kW,Pwt_kW,Pfc_kW,SOC_pct,DeltaP_kW,Pdc_kW,Pac_kW,Tariff_EUR
0.0000,750.24,0.00,0.86,18.00,60.00,2.36,1.50,16.50,0.0500
0.0100,750.24,0.00,0.86,18.00,60.01,2.36,1.50,16.50,0.0500
0.0200,750.24,0.00,0.86,18.00,60.02,2.36,1.50,16.50,0.0500
0.0300,750.24,0.00,0.86,18.00,60.04,2.36,1.50,16.50,0.0500
0.0400,750.24,0.00,0.86,18.00,60.05,2.36,1.50,16.50,0.0500
0.0500,750.24,0.00,0.86,18.00,60.06,2.36,1.50,16.50,0.0500
0.0600,750.24,0.00,0.86,18.00,60.07,2.36,1.50,16.50,0.0500
0.0700,750.24,0.00,0.86,18.00,60.08,2.36,1.50,16.50,0.0500
0.0800,750.24,0.00,0.86,18.00,60.09,2.36,1.50,16.50,0.0500
0.0900,750.24,0.00,0.86,18.00,60.11,2.36,1.50,16.50,0.0500
0.1000,750.24,0.00,0.86,18.00,60.12,2.36,1.50,16.50,0.0500
0.1100,750.24,0.00,0.86,18.00,60.13,2.36,1.50,16.50,0.0500
0.1200,750.24,0.00,0.86,18.00,60.14,2.36,1.50,16.50,0.0500
0.1300,750.24,0.00,0.86,18.00,60.15,2.36,1.50,16.50,0.0500
0.1400,750.24,0.00,0.86,18.00,60.17,2.36,1.50,16.50,0.0500
0.1500,750.24,0.00,0.86,18.00,60.18,2.36,1.50,16.50,0.0500
0.1600,750.24,0.00,0.86,18.00,60.19,2.36,1.50,16.50,0.0500
0.1700,750.24,0.00,0.86,18.00,60.20,2.36,1.50,16.50,0.0500
0.1800,750.24,0.00,0.86,18.00,60.21,2.36,1.50,16.50,0.0500
0.1900,750.24,0.00,0.86,18.00,60.22,2.36,1.50,16.50,0.0500
0.2000,750.24,0.00,0.86,18.00,60.24,2.36,1.50,16.50,0.0500
0.2100,750.24,0.00,0.86,18.00,60.25,2.36,1.50,16.50,0.0500
0.2200,750.24,0.00,0.86,18.00,60.26,2.36,1.50,16.50,0.0500
0.2300,750.24,0.00,0.86,18.00,60.27,2.36,1.50,16.50,0.0500
0.2400,750.24,0.00,0.86,18.00,60.28,2.36,1.50,16.50,0.0500
