Latitude (decimal degrees):	38.110
Longitude (decimal degrees):	15.650
Elevation (m):	67
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int,WS60m,T_cell
20190101:0010,0.0,0.0,4.61,4.76,0.0,6.12,4.6
20190101:0110,0.0,0.0,4.6,4.9,0.0,6.30,4.6
20190101:0210,0.0,0.0,4.7,5.24,0.0,6.73,4.7
20190101:0310,0.0,0.0,4.77,5.45,0.0,7.00,4.8
20190101:0410,0.0,0.0,4.68,5.31,0.0,6.82,4.7
20190101:0510,0.0,0.0,4.73,5.31,0.0,6.82,4.7
20190101:0610,0.0,0.0,4.69,5.1,0.0,6.55,4.7
20190101:0710,45.0,8.38,5.27,4.83,0.0,6.21,6.7
20190101:0810,37.0,16.92,5.97,4.76,0.0,6.12,7.1
20190101:0910,59.0,23.58,6.55,5.72,0.0,7.35,8.4
20190101:1010,151.0,27.73,7.04,5.86,0.0,7.53,11.8
20190101:1110,274.0,28.84,7.27,5.45,0.0,7.00,15.8
20190101:1210,346.01,26.76,7.41,5.24,0.0,6.73,18.2
20190101:1310,298.01,21.77,7.38,5.03,0.0,6.46,16.7
20190101:1410,178.0,14.47,7.43,4.9,0.0,6.30,13.0
20190101:1510,39.23,5.47,7.07,4.0,0.0,5.14,8.3
20190101:1610,0.0,0.0,6.33,3.59,0.0,4.61,6.3
20190101:1710,0.0,0.0,5.97,3.45,0.0,4.43,6.0
20190101:1810,0.0,0.0,5.74,3.24,0.0,4.16,5.7
20190101:1910,0.0,0.0,5.75,3.1,0.0,3.98,5.8
20190101:2010,0.0,0.0,5.49,3.1,0.0,3.98,5.5
20190101:2110,0.0,0.0,5.37,3.17,0.0,4.07,5.4
20190101:2210,0.0,0.0,5.27,3.24,0.0,4.16,5.3
20190101:2310,0.0,0.0,5.36,3.17,0.0,4.07,5.4
20190102:0010,0.0,0.0,5.33,3.17,0.0,4.07,5.3
20190102:0110,0.0,0.0,5.47,3.24,0.0,4.16,5.5
20190102:0210,0.0,0.0,5.46,3.31,0.0,4.25,5.5
20190102:0310,0.0,0.0,5.35,3.31,0.0,4.25,5.3
20190102:0410,0.0,0.0,5.26,3.24,0.0,4.16,5.3
20190102:0510,0.0,0.0,5.34,3.03,0.0,3.89,5.3
20190102:0610,0.0,0.0,5.15,2.69,0.0,3.46,5.2
20190102:0710,45.0,8.38,5.52,2.69,0.0,3.46,6.9
20190102:0810,266.01,16.93,6.22,2.28,0.0,2.93,14.5
20190102:0910,266.0,23.62,7.4,2.69,0.0,3.46,15.7
20190102:1010,379.01,27.79,8.22,2.55,0.0,3.28,20.1
20190102:1110,165.0,28.93,8.83,2.41,0.0,3.10,14.0
20190102:1210,83.0,26.87,9.39,2.9,0.0,3.73,12.0
20190102:1310,68.0,21.89,9.55,2.83,0.0,3.64,11.7
20190102:1410,97.0,14.6,9.27,2.28,0.0,2.93,12.3
20190102:1510,31.57,5.61,8.62,1.66,0.0,2.13,9.6
20190102:1610,0.0,0.0,7.49,1.66,0.0,2.13,7.5
20190102:1710,0.0,0.0,7.02,1.79,0.0,2.30,7.0
20190102:1810,0.0,0.0,6.92,2.07,0.0,2.66,6.9
20190102:1910,0.0,0.0,6.45,2.14,0.0,2.75,6.5
20190102:2010,0.0,0.0,5.91,2.14,0.0,2.75,5.9
20190102:2110,0.0,0.0,5.47,2.34,0.0,3.01,5.5
20190102:2210,0.0,0.0,4.77,2.21,0.0,2.84,4.8
20190102:2310,0.0,0.0,4.45,2.28,0.0,2.93,4.5
20190103:0010,0.0,0.0,4.58,2.76,0.0,3.55,4.6
20190103:0110,0.0,0.0,3.65,3.24,0.0,4.16,3.6
20190103:0210,0.0,0.0,3.73,3.59,0.0,4.61,3.7
20190103:0310,0.0,0.0,3.41,4.62,0.0,5.94,3.4
20190103:0410,0.0,0.0,3.36,4.62,0.0,5.94,3.4
20190103:0510,0.0,0.0,3.39,4.9,0.0,6.30,3.4
20190103:0610,0.0,0.0,3.21,5.03,0.0,6.46,3.2
20190103:0710,31.0,8.38,2.95,4.55,0.0,5.85,3.9
20190103:0810,48.0,16.95,3.54,4.76,0.0,6.12,5.0
20190103:0910,239.0,23.66,3.98,5.52,0.0,7.09,11.4
20190103:1010,422.01,27.86,4.36,5.79,0.0,7.44,17.5
20190103:1110,196.0,29.03,4.65,6.21,0.0,7.98,10.8
20190103:1210,400.01,26.98,4.4,6.62,0.0,8.51,16.9
20190103:1310,328.01,22.02,4.22,7.17,0.0,9.21,14.5
20190103:1410,208.01,14.74,3.66,6.76,0.0,8.69,10.2
20190103:1510,56.0,5.74,2.93,6.14,0.0,7.89,4.7
20190103:1610,0.0,0.0,2.51,5.86,0.0,7.53,2.5
20190103:1710,0.0,0.0,2.45,5.38,0.0,6.91,2.5
20190103:1810,0.0,0.0,2.25,5.1,0.0,6.55,2.2
